grade,token_count,row
1.0,25757,100
0.9778812572759022,26455,103
0.023312883435582823,16043,106
1.0,19162,102
1.0,30419,109
1.0,30219,104
1.0,17882,108
0.044641061733360146,26843,101
1.0,22361,110
1.0,18230,112
1.0,20924,114
1.0,28985,115
0.03475810239549084,20114,113
0.076993583868011,20454,116
0.9987352445193929,19809,105
1.0,26253,118
1.0,23330,124
1.0,26808,120
0.05554280468212072,22266,119
0.984624145785877,26822,121
1.0,17549,117
1.0,29678,111
1.0,16165,125
1.0,29503,122
1.0,29980,123
1.0,31843,127
1.0,25636,107
0.9984645755648168,18472,126
1.0,29121,128
1.0,19604,129
0.04147880973850315,27469,133
1.0,28252,130
1.0,20301,134
0.059211699661137866,23547,138
0.034405078844972355,30291,136
0.06676223633012493,20024,139
0.09728944820909971,29296,140
0.20100502512562815,28532,131
1.0,30950,145
0.02201690583841164,29897,142
1.0,18598,141
1.0,25176,137
0.9997734994337486,25879,144
1.0,27937,135
1.0,21119,146
0.028156621205455347,22477,148
0.9850441876274643,20374,132
1.0,23628,150
1.0,28404,151
0.9984439834024896,27929,152
1.0,30934,153
0.021401819154628143,27786,154
1.0,17898,149
1.0,25872,147
0.9946236559139785,25454,143
1.0,23387,163
1.0,30290,155
0.9995559502664298,24563,156
1.0,29255,162
0.15010570824524314,25953,160
0.03497164461247637,29191,158
0.02114958212519188,23740,159
0.9251908396946565,23076,164
0.032448377581120944,30146,167
1.0,18177,168
1.0,16866,166
1.0,21822,169
0.9994504488001466,29549,165
1.0,16769,157
1.0,20092,172
0.03273896521484946,17756,173
0.03237555645487657,15788,170
1.0,28236,176
1.0,24189,174
1.0,20487,161
1.0,28576,175
0.14373024236037935,24217,177
1.0,29776,178
0.9819376026272578,27672,181
0.15359595229490422,19119,179
1.0,31526,182
0.976629766297663,20450,185
0.012184508268059183,23603,180
0.07209117413199045,25118,186
1.0,21891,183
0.9975081464443166,20013,171
1.0,28525,184
0.9998165474224913,29118,187
0.9997917100604041,16311,190
0.9998254494676209,24566,188
1.0,21542,191
1.0,30805,196
1.0,23705,194
0.9981175486299937,29979,195
1.0,28342,197
0.04524033930254477,17425,198
1.0,28593,199
1.0,44802,303
0.998968540484786,26516,193
0.9887184115523465,36352,302
1.0,60245,301
1.0,18345,189
1.0,51735,300
0.9033902625541678,28930,192
1.0,37221,306
1.0,50214,309
0.08938887199756765,53507,307
0.050955414012738856,47310,305
1.0,47402,304
0.9976228209191759,55167,308
1.0,52152,312
0.15713925963233444,44463,313
0.04146249528835281,38824,310
1.0,47186,316
1.0,39654,318
1.0,35028,317
1.0,41873,319
0.15162659123055164,52676,321
1.0,37658,323
1.0,46496,326
1.0,32819,315
0.022628372497824196,63271,327
0.9975308641975309,55101,322
1.0,55550,325
0.999000999000999,40259,320
0.0713463751438435,59561,311
0.9844738355376653,62530,328
0.996078431372549,44288,329
0.06707657909446618,43969,331
0.041837198726693954,46105,330
0.9969418960244648,52261,333
1.0,39204,334
0.997686077902044,59552,332
1.0,55142,335
0.03460837887067395,31856,338
0.9932117098005939,51376,324
0.02864816472694718,63408,336
0.039412997903563944,35794,339
1.0,45818,341
0.04310171198388721,36605,343
0.037370477322914895,49385,342
1.0,54987,340
1.0,57755,345
1.0,40417,348
1.0,56754,347
0.9857067231339333,34794,337
1.0,49558,346
0.049817105033966205,55254,350
1.0,34900,344
0.9989189189189189,56296,352
0.03871576959395656,32396,349
0.9762734362037498,43216,351
0.9992691839220463,39556,353
1.0,40398,357
1.0,48140,356
0.046670948405052454,57499,314
0.9874353288987435,63180,355
0.0587437867148667,51100,359
0.03133393017009848,46598,362
0.13261761919797915,49281,361
1.0,55389,363
0.04912023460410557,57061,358
1.0,47058,367
1.0,42553,364
0.048644892286309936,34556,371
1.0,47780,368
0.9966350565922301,61459,366
1.0,53211,372
0.0861170110059857,57126,369
0.04405286343612335,45668,360
0.0992063492063492,58677,376
1.0,33820,374
0.8488063660477454,61465,377
1.0,43123,365
1.0,55962,379
1.0,39918,381
1.0,51142,380
1.0,37112,373
0.9954545454545455,35680,370
1.0,46082,354
0.9997505612372163,50368,383
0.9988269794721407,37785,385
1.0,41585,386
1.0,52854,391
1.0,43502,392
0.019357960961445396,51742,375
0.9977628635346756,56979,388
0.9746161078031965,63085,387
1.0,52803,382
0.013895621263532073,46291,384
0.036313617606602476,39415,395
0.047996745983323166,31987,393
1.0,40275,397
0.0519360786724032,52897,394
1.0,39765,396
0.04659643435980551,58456,390
1.0,33781,398
0.9760567543600355,59508,389
1.0,5540,400
1.0,6001,404
1.0,5779,402
1.0,62244,399
1.0,6486,401
1.0,3824,403
1.0,4730,406
1.0,4246,405
1.0,4330,407
0.9995473064735174,6892,410
0.9276869737493809,4899,412
1.0,6898,408
1.0,5606,413
1.0,3831,415
1.0,4338,416
1.0,5530,409
1.0,6695,418
0.980089394555059,45990,378
1.0,7158,411
0.9863077280111395,3701,421
1.0,4035,420
1.0,5018,422
1.0,7297,423
1.0,6381,428
0.9788732394366197,7073,426
1.0,4913,425
1.0,7243,414
1.0,7229,417
0.968976897689769,5716,431
0.9444444444444444,5289,432
0.9988839285714286,4096,424
0.9990627928772259,6359,427
1.0,5475,435
1.0,3806,429
0.9973969631236442,5591,434
0.9805375347544022,4575,439
1.0,5328,437
0.9995678478824547,5470,436
0.9989772959705461,7117,438
1.0,3782,441
1.0,7606,444
0.9812834224598931,4912,442
1.0,6147,440
1.0,6313,433
1.0,3869,445
1.0,6205,430
1.0,7243,448
1.0,5341,443
0.9949079514296906,6171,449
0.9820493642483171,6979,451
1.0,6139,446
1.0,3895,453
0.9534591194968554,6974,454
0.9952590585844904,3402,452
1.0,6385,457
1.0,4051,450
1.0,3219,458
0.9971577451444813,6874,456
1.0,3439,447
0.9957446808510638,6736,461
1.0,4967,462
1.0,5343,459
1.0,4430,464
1.0,5019,468
0.9763567974207416,5090,466
1.0,4412,463
1.0,3718,460
0.9716088328075709,4622,469
1.0,4131,467
0.9933422103861518,7088,472
0.054878048780487805,4680,471
1.0,6547,473
1.0,4886,465
1.0,3843,455
0.9992630803242447,7413,474
1.0,5818,479
1.0,6060,470
0.10750900526461624,5071,419
1.0,5544,475
1.0,6154,476
1.0,6240,477
0.999780268072951,5068,478
0.021011888305225324,7097,481
1.0,4370,484
1.0,7273,482
1.0,5349,485
0.9860423232778028,4851,486
0.951627088830255,4094,487
1.0,6991,480
1.0,3640,492
1.0,3729,490
1.0,4776,495
1.0,5238,488
1.0,4483,494
1.0,5257,496
1.0,6496,498
1.0,6270,499
1.0,6119,497
1.0,3930,489
1.0,5209,491
1.0,5158,493
1.0,4318,483
0.02699662542182227,74711,607
0.12016838882510525,97814,600
0.05096040768326147,100219,604
1.0,96092,609
0.113915857605178,82557,612
0.03935599284436494,97789,616
0.033533533533533534,80567,615
0.12565971349585323,83473,603
0.9962025316455696,83789,618
0.017998941238750663,95006,601
1.0,72866,620
0.13608815426997245,83868,619
0.02819548872180451,73758,611
0.05229936880072137,71318,623
1.0,105993,622
0.037341299477221805,84614,617
1.0,104901,621
1.0,92244,624
0.15646534252128091,73259,626
0.9647577092511013,65561,629
1.0,76402,632
0.9984670413898825,95367,628
0.0494458653026428,96972,636
1.0,106444,635
1.0,68378,641
0.018650088809946713,87920,644
0.12508591065292096,80158,645
0.5919265352974937,98770,627
0.05716741886954653,65383,649
0.7160779772244741,85596,631
0.12671112671112672,100802,639
1.0,85348,655
1.0,85722,654
1.0,74893,652
0.8681849551414769,86109,651
0.06013021830716201,97927,642
0.06441598758246023,91017,637
1.0,73418,656
0.008269344359125812,68643,660
0.0565913577538934,108658,659
0.9984375,106689,657
1.0,85504,661
0.9898373983739838,108130,663
0.18615267562769464,102147,658
0.9984428526938648,95279,643
1.0,89993,665
0.04701553556827474,78152,650
0.9995697074010327,78028,667
0.05091937765205092,107826,669
0.11928783382789318,101483,666
1.0,103542,672
1.0,89929,671
0.2065186039803865,78562,646
1.0,73659,677
1.0,69064,675
1.0,68724,678
1.0,108498,674
1.0,79509,684
0.9964928688332944,70618,686
0.034203420342034205,89543,680
1.0,95159,676
0.9995724668661822,65476,688
0.04638265691958659,82883,687
1.0,107881,690
0.09252669039145907,99162,685
1.0,94086,679
1.0,93530,682
1.0,74242,670
0.9707271010387157,105387,692
1.0,8700,701
0.02834008097165992,93118,691
1.0,69721,699
0.1540010065425264,9804,702
1.0,84854,696
0.998180991359709,80611,698
0.9989525662127787,95601,697
0.9941176470588236,13838,703
1.0,11591,700
1.0,10721,704
1.0,14093,705
1.0,12519,708
1.0,13213,710
1.0,11096,706
1.0,9568,712
1.0,8952,709
0.9744160177975528,8599,714
1.0,12739,707
1.0,12707,715
1.0,15019,718
1.0,9810,717
1.0,8857,713
1.0,14431,716
1.0,15041,721
0.05783938814531549,11225,720
0.9910764082543224,14040,711
0.06368292139835226,10632,722
0.1640856672158155,94687,683
0.14736335179388393,13927,719
1.0,10540,729
1.0,12054,725
1.0,8269,730
1.0,9097,726
1.0,14358,724
1.0,11478,728
1.0,15038,723
0.9978401727861771,9657,734
0.04636920384951881,67879,694
1.0,11266,732
1.0,7842,733
0.03441682600382409,12778,736
1.0,13741,731
0.0681635926222935,11546,735
1.0,10296,727
1.0,14473,739
1.0,8997,742
0.0025493945188017845,14933,745
0.09483887870055017,82641,693
1.0,8611,743
1.0,7948,738
1.0,14929,747
1.0,12280,740
1.0,14269,746
1.0,10723,748
1.0,12559,744
0.9998109998109999,11121,749
0.9996625042186973,15373,737
1.0,8444,741
0.04133016627078385,13176,754
0.9993413830954995,10401,752
0.17822384428223845,15532,750
1.0,10817,755
0.03296703296703297,12953,761
1.0,15535,757
1.0,14001,762
1.0,13760,751
1.0,13333,763
1.0,13913,764
0.06792265741199802,15365,765
1.0,12745,753
1.0,12134,758
1.0,12018,768
1.0,14188,769
0.9969982847341338,15332,756
1.0,12006,771
1.0,10493,759
1.0,11997,760
1.0,8731,775
1.0,10703,772
1.0,9525,774
1.0,9993,773
1.0,9876,776
1.0,14112,777
1.0,13103,778
1.0,13623,779
0.9786418400876232,7963,770
1.0,11265,783
1.0,8252,767
1.0,12556,781
0.9997596731554914,15510,766
1.0,14172,785
1.0,11516,790
0.11046160048377343,14846,787
1.0,14465,791
0.940032414910859,15670,780
1.0,10329,782
0.9979605710401088,8540,784
1.0,14027,786
1.0,12333,793
1.0,10660,794
1.0,12541,788
1.0,11113,796
1.0,11126,792
1.0,12605,799
1.0,13341,798
1.0,8151,789
0.9710401891252955,12746,795
1.0,13464,797
